User;Activity;realtime;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
2;1;1;570;183;;64184239;-0.004;-1.01;0.049;3.7;-4;-0.9;-1343.5;219.5;97.5;-2.4;0.1;336.7;102007;0;1;1;18;18;24.96;41.27;0.127;0.002556;
2;1;2;571;183;;64184240;0;-1.006;0.05;3.6;-3.4;-1.1;-1345;213.5;91.5;-2.4;0.1;336.7;102007;0;1;1;18;18;24.96;41.27;0.127;0.002556;
2;1;3;572;183;;64184240;-0.001;-1.009;0.05;3.4;-3;-1.3;-1351;225.5;106.5;-2.5;0.1;336.7;102007;0;1;1;18;18;24.96;41.27;0.127;0.002556;
2;1;4;573;183;;64184240;-0.001;-1.009;0.052;3.4;-2.7;-1.5;-1346.5;218;94.5;-2.6;0.1;336.7;102007;0;1;1;18;18;24.96;41.27;0.127;0.002556;
2;1;5;574;183;;64184241;-0.001;-1.006;0.054;3.1;-2;-1.7;-1349.5;215;99;-2.6;0.1;336.7;102007;0;1;1;18;18;24.96;41.27;0.127;0.002556;
2;1;6;575;183;;64184241;0;-1.006;0.054;2.8;-1.9;-2;-1349.5;215;93;-2.6;0.1;336.7;102006;0;1;1;18;18;24.98;41.26;0;0.002556;
2;1;7;576;183;;64184242;0;-1.007;0.054;2.7;-2.1;-2.5;-1351;216.5;91.5;-2.7;0;336.7;102006;0;1;1;18;18;24.98;41.26;0;0.002556;
2;1;8;577;183;;64184242;0.001;-1.008;0.053;2.5;-1.9;-3.1;-1352.5;216.5;93;-2.7;0;336.7;102006;0;1;1;18;18;24.98;41.26;0;0.002556;
2;1;9;578;183;;64184242;0.002;-1.006;0.053;2.5;-1.8;-3.4;-1342;222.5;96;-2.8;0;336.7;102006;0;1;1;18;18;24.98;41.26;0;0.002556;
2;1;10;579;183;;64184243;0.005;-1.007;0.054;2.4;-2.1;-3.5;-1355.5;218;94.5;-2.8;0;336.7;102009;0;1;1;18;18;24.98;41.26;0.0635;0.002556;
2;1;11;580;183;;64184243;0.005;-1.006;0.054;2.4;-2.3;-3.3;-1346.5;212;88.5;-2.8;0;336.7;102009;0;1;1;18;18;24.98;41.26;0.0635;0.002556;
2;1;12;581;183;;64184243;0.007;-0.994;0.051;2;-2.5;-3.2;-1343.5;219.5;91.5;-2.8;-0.1;336.7;102009;0;1;1;18;18;24.98;41.26;0.0635;0.002556;
2;1;13;582;183;;64184243;0.016;-1.01;0.053;1.3;-2.9;-2.7;-1352.5;215;99;-2.8;-0.2;336.7;102009;0;1;1;18;18;24.98;41.26;0.0635;0.002556;
2;1;14;583;183;;64184244;0.012;-1.014;0.052;1.5;-2.7;-2;-1352.5;216.5;87;-2.9;-0.2;336.7;102009;0;1;1;18;18;24.98;41.26;0.0635;0.002556;
2;1;15;584;183;;64184244;0.01;-0.999;0.052;1.9;-2.6;-1.8;-1348;216.5;90;-2.9;-0.3;336.7;102009;0;1;1;18;18;24.98;41.26;0.0635;0.002556;
2;1;16;585;184;;64184538;0.007;-0.996;0.047;1.6;-2.9;-1.4;-1345;221;96;-2.8;-0.3;336.7;102010;0;1;1;18;18;24.99;41.27;0.0635;0;
2;1;17;586;184;;64184538;0.006;-1.001;0.048;1.1;-3;-0.6;-1352.5;219.5;97.5;-2.8;-0.3;336.7;102010;0;1;1;18;18;24.99;41.27;0.0635;0;
2;1;18;587;184;;64184539;0.008;-1.006;0.046;1;-3.2;0.1;-1352.5;221;94.5;-2.8;-0.3;336.7;102010;0;1;1;18;18;24.99;41.27;0.0635;0;
2;1;19;588;184;;64184539;0.01;-1.007;0.046;1.3;-3.4;0.3;-1354;221;97.5;-2.8;-0.3;336.7;102010;0;1;1;18;18;24.99;41.27;0.0635;0;
2;1;20;589;184;;64184539;0.01;-1.007;0.044;1.7;-3.4;0.3;-1351;215;91.5;-2.8;-0.3;336.7;102010;0;1;1;18;18;24.99;41.27;0.0635;0;
2;1;21;590;184;;64184539;0.007;-1.007;0.043;1.8;-3.5;0.2;-1354;219.5;100.5;-2.7;-0.3;336.6;102009;0;1;1;18;18;24.99;41.27;0.1905;0.002556;
2;1;22;591;184;;64184540;0.006;-1.008;0.045;1.8;-3.7;0.3;-1354;219.5;105;-2.7;-0.3;336.6;102009;0;1;1;18;18;24.99;41.27;0.1905;0.002556;
2;1;23;592;184;;64184540;0.005;-1.009;0.044;1.7;-3.9;0.3;-1355.5;221;97.5;-2.7;-0.3;336.6;102009;0;1;1;18;18;24.99;41.27;0.1905;0.002556;
2;1;24;593;184;;64184540;0.005;-1.007;0.045;1.5;-4.1;0.4;-1351;219.5;91.5;-2.7;-0.2;336.5;102009;0;1;1;18;18;24.99;41.27;0.1905;0.002556;
2;1;25;594;184;;64184540;0.005;-1.01;0.046;1.8;-4.3;0.2;-1358.5;221;97.5;-2.6;-0.2;336.5;102006;0;1;1;18;18;25.03;41.26;0;0.00426;
