User;Action;real time;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
3;2;1;17295;18;;64521083;-0.207;-0.988;0.03;2.1;9.6;5.7;-1316.5;207.5;36;2.4;14.2;221.2;102006;0;1;1;18;19;24.73;41.94;0.127;0.000852;
3;2;2;17296;18;;64521084;-0.206;-0.991;0.028;2;8.1;6.4;-1321;209;42;2.3;14.2;221.4;102006;0;1;1;18;19;24.73;41.94;0.127;0.000852;
3;2;3;17297;18;;64521084;-0.195;-1.002;0.022;2.8;7.4;6.8;-1316.5;203;36;2;14.1;221.5;102006;0;1;1;18;19;24.73;41.94;0.127;0.000852;
3;2;4;17298;18;;64521084;-0.191;-0.996;0.022;4.5;7.5;6.8;-1315;207.5;36;1.7;14;221.6;102006;0;1;1;18;19;24.73;41.94;0.127;0.000852;
3;2;5;17299;18;;64521085;-0.208;-0.972;0.027;5.1;7.4;5.7;-1321;209;34.5;1.6;14;221.9;102006;0;1;1;18;19;24.73;41.94;0.127;0.000852;
3;2;6;17300;18;;64521085;-0.211;-0.976;0.025;3.8;7;5.5;-1313.5;203;37.5;1.4;13.9;222;102008;0;0;1;15;17;24.73;41.94;0.0635;0.002556;
3;2;7;17301;18;;64521085;-0.207;-0.989;0.03;1.9;5.2;4.5;-1315;204.5;42;1.3;13.9;222.2;102008;0;0;1;15;17;24.73;41.94;0.0635;0.002556;
3;2;8;17302;18;;64521086;-0.209;-1.003;0.027;1.2;4.2;4.2;-1321;201.5;27;1.3;13.9;222.3;102008;0;0;1;15;17;24.73;41.94;0.0635;0.002556;
3;2;9;17303;18;;64521086;-0.212;-0.989;0.03;1.9;3.2;4.1;-1318;207.5;36;1;13.8;222.4;102008;0;0;1;15;17;24.73;41.94;0.0635;0.002556;
3;2;10;17304;18;;64521086;-0.212;-0.997;0.026;2.7;2.4;4.7;-1318;195.5;34.5;1;13.9;222.5;102005;0;0;1;15;17;24.68;41.94;0.1905;0.000852;
3;2;11;17305;18;;64521086;-0.216;-0.988;0.025;3.2;1.4;5.1;-1310.5;206;31.5;0.8;13.8;222.5;102005;0;0;1;15;17;24.68;41.94;0.1905;0.000852;
3;2;12;17306;18;;64521087;-0.214;-0.991;0.021;3.1;0.5;5.2;-1312;207.5;33;0.7;13.8;222.6;102005;0;0;1;15;17;24.68;41.94;0.1905;0.000852;
3;2;13;17307;18;;64521087;-0.218;-0.992;0.019;3.3;0;5.1;-1313.5;200;31.5;0.5;13.8;222.6;102005;0;0;1;15;17;24.68;41.94;0.1905;0.000852;
3;2;14;17308;18;;64521087;-0.218;-0.991;0.019;3;-0.5;4.4;-1313.5;203;36;0.4;13.7;222.6;102005;0;0;1;15;17;24.68;41.94;0.1905;0.000852;
3;2;15;17309;18;;64521088;-0.212;-0.996;0.022;2.8;-0.7;3.2;-1315;203;34.5;0.2;13.7;222.7;102005;0;0;1;15;17;24.68;41.94;0.1905;0.000852;
3;2;16;17310;19;;64521383;-0.213;-0.995;0.02;3.1;-0.6;3;-1318;203;27;0.1;13.6;222.7;102009;0;0;1;15;17;24.68;41.94;0.0635;0.00426;
3;2;17;17311;19;;64521383;-0.216;-0.991;0.024;3.5;-0.7;2.7;-1307.5;198.5;27;0;13.5;222.7;102009;0;0;1;15;17;24.68;41.94;0.0635;0.00426;
3;2;18;17312;19;;64521384;-0.217;-0.996;0.026;2.8;-1.2;1.2;-1318;204.5;24;0;13.4;222.7;102009;0;0;1;15;17;24.68;41.94;0.0635;0.00426;
3;2;19;17313;19;;64521385;-0.218;-0.989;0.028;3.3;-1.6;0.5;-1306;201.5;33;-0.1;13.4;222.8;102009;0;0;1;15;17;24.68;41.94;0.0635;0.00426;
3;2;20;17314;19;;64521386;-0.22;-0.988;0.03;3.8;-1.9;0.3;-1313.5;197;30;-0.3;13.3;222.8;102009;0;0;1;15;17;24.68;41.94;0.0635;0.00426;
3;2;21;17315;19;;64521386;-0.222;-0.981;0.033;3.9;-2.8;0.4;-1310.5;198.5;22.5;-0.4;13.2;222.7;102002;0;0;1;15;17;24.71;41.94;0;0.001704;
3;2;22;17316;19;;64521386;-0.22;-0.986;0.033;3.9;-3.6;1.1;-1310.5;197;27;-0.5;13.2;222.7;102002;0;0;1;15;17;24.71;41.94;0;0.001704;
