User;Actoin;real data;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
4;2;1;23294;161;;64641640;0.097;-0.892;0.102;5.4;6.1;3;-1000;219.5;75;-1.1;-6.2;221.9;101955;0;0;0;14;15;24.06;40.71;0;0.003408;
4;2;2;1605;253;;64871315;0.075;-0.967;0.075;7.3;-52.5;-2.4;-1415.5;254;3;-5.4;-3.3;15.1;102019;0;1;1;18;18;25.89;36.63;0.127;0.002556;
4;2;3;1606;253;;64871316;0.089;-0.965;0.082;5.4;-48.7;2.9;-1411;254;4.5;-5.4;-3.5;13.9;102019;0;1;1;18;18;25.89;36.63;0.127;0.002556;
4;2;4;1607;253;;64871316;0.108;-0.973;0.085;4.5;-43.6;7;-1414;249.5;1.5;-5.4;-3.5;13.1;102019;0;1;1;18;18;25.89;36.63;0.127;0.002556;
4;2;5;1608;253;;64871316;0.108;-0.977;0.088;3;-38.2;8.9;-1403.5;252.5;3;-5.4;-3.5;12.3;102019;0;1;1;18;18;25.89;36.63;0.127;0.002556;
4;2;6;1609;253;;64871316;0.103;-0.968;0.09;1.8;-32.9;10.2;-1397.5;254;16.5;-5.4;-3.4;11.5;102019;0;1;1;18;18;25.89;36.63;0.127;0.002556;
4;2;7;1610;253;;64871317;0.095;-0.988;0.092;1.1;-28;10.9;-1400.5;246.5;9;-5.3;-3.3;11;102018;0;1;1;18;18;25.91;36.63;0.0635;0.003408;
4;2;8;1611;253;;64871317;0.084;-1.007;0.088;0.6;-24.7;10.3;-1397.5;243.5;16.5;-5.3;-3.1;10.4;102018;0;1;1;18;18;25.91;36.63;0.0635;0.003408;
4;2;9;1612;253;;64871317;0.071;-1.022;0.084;0.1;-21.4;7.7;-1394.5;236;18;-5.2;-3.1;10;102018;0;1;1;18;18;25.91;36.63;0.0635;0.003408;
4;2;10;1613;253;;64871317;0.062;-1.022;0.082;0.9;-18.4;4.5;-1393;237.5;24;-5.2;-3;9.6;102018;0;1;1;18;18;25.91;36.63;0.0635;0.003408;
4;2;11;1614;253;;64871318;0.056;-1.022;0.079;2.9;-13.6;0.6;-1393;248;13.5;-5.2;-3;9.3;102016;0;1;1;19;20;25.91;36.63;0.254;0.00426;
4;2;12;1615;253;;64871318;0.052;-1.011;0.078;2.6;-12.1;0;-1393;248;13.5;-5.1;-2.9;9.1;102016;0;1;1;19;20;25.91;36.63;0.254;0.00426;
4;2;13;1616;253;;64871319;0.048;-0.992;0.076;0.8;-8.9;-0.3;-1388.5;240.5;19.5;-5.1;-2.9;8.9;102016;0;1;1;19;20;25.91;36.63;0.254;0.00426;
4;2;14;1617;253;;64871319;0.047;-0.99;0.077;0;-7.5;-0.1;-1388.5;243.5;9;-5.1;-2.9;8.8;102016;0;1;1;19;20;25.91;36.63;0.254;0.00426;
4;2;15;1618;253;;64871319;0.046;-1;0.077;-0.3;-6.8;0.5;-1385.5;249.5;21;-5;-2.9;8.7;102016;0;1;1;19;20;25.91;36.63;0.254;0.00426;
4;2;16;1619;253;;64871319;0.045;-1.016;0.079;0;-6.3;1.6;-1388.5;248;16.5;-5;-2.9;8.6;102016;0;1;1;19;20;25.91;36.63;0.254;0.00426;
4;2;17;1620;254;;64871615;0.044;-1.011;0.078;0.1;-6;2.7;-1384;243.5;22.5;-4.9;-2.9;8.6;102015;0;1;1;19;20;25.94;36.65;0.0635;0.001704;
4;2;18;1621;254;;64871615;0.039;-0.999;0.076;-0.8;-5.5;4.2;-1385.5;239;24;-4.8;-2.8;8.5;102015;0;1;1;19;20;25.94;36.65;0.0635;0.001704;
4;2;19;1622;254;;64871615;0.031;-0.991;0.076;-1.8;-5.1;5.3;-1385.5;245;22.5;-4.7;-2.7;8.4;102015;0;1;1;19;20;25.94;36.65;0.0635;0.001704;
4;2;20;1623;254;;64871616;0.024;-1.006;0.075;-1.8;-4.9;5;-1384;242;25.5;-4.7;-2.6;8.4;102015;0;1;1;19;20;25.94;36.65;0.0635;0.001704;
4;2;21;1624;254;;64871616;0.022;-1.001;0.074;-1;-4.5;2.6;-1384;245;19.5;-4.6;-2.5;8.4;102015;0;1;1;19;20;25.94;36.65;0.0635;0.001704;
4;2;22;1625;254;;64871617;0.024;-1.002;0.075;-0.6;-4.4;1.8;-1382.5;237.5;21;-4.5;-2.3;8.3;102016;0;1;1;19;20;25.94;36.65;0.381;0.00426;
4;2;23;1626;254;;64871617;0.021;-1.01;0.073;-0.5;-3.4;1.1;-1387;240.5;25.5;-4.4;-2.2;8.3;102016;0;1;1;19;20;25.94;36.65;0.381;0.00426;
4;2;24;1627;254;;64871617;0.02;-1.004;0.074;-0.4;-2.7;1.7;-1382.5;239;24;-4.4;-2;8.3;102016;0;1;1;19;20;25.94;36.65;0.381;0.00426;
4;2;25;1628;254;;64871618;0.021;-1.005;0.077;0.7;-2.6;2.3;-1375;237.5;31.5;-4.3;-1.9;8.3;102016;0;1;1;19;20;25.94;36.65;0.381;0.00426;
